parameter_id,frequency_band,pair,average_pairwise_net
P1_H10_S1,short_term,ai_electricity,0.17963667035551564
P1_H10_S1,short_term,ai_coal,1.3550539441617866
P1_H10_S1,short_term,ai_gas,1.3572418183186818
P1_H10_S1,short_term,ai_wti,-0.21430137948570882
P1_H10_S1,short_term,ai_gold,1.2908395349774653
P1_H10_S1,medium_term,ai_electricity,0.663655715280282
P1_H10_S1,medium_term,ai_coal,-0.2928496536271593
P1_H10_S1,medium_term,ai_gas,1.485593108743475
P1_H10_S1,medium_term,ai_wti,2.268962796169933
P1_H10_S1,medium_term,ai_gold,1.9213563454339937
P1_H10_S1,long_term,ai_electricity,0.7098124032848365
P1_H10_S1,long_term,ai_coal,-0.8668825531832091
P1_H10_S1,long_term,ai_gas,1.4865462715289584
P1_H10_S1,long_term,ai_wti,2.4951174925802753
P1_H10_S1,long_term,ai_gold,2.0055290120715483
P1_H10_S2,short_term,ai_electricity,0.29374688619320083
P1_H10_S2,short_term,ai_coal,1.0682047839165103
P1_H10_S2,short_term,ai_gas,1.4261944832829347
P1_H10_S2,short_term,ai_wti,0.39023390499819866
P1_H10_S2,short_term,ai_gold,1.4328587316940924
P1_H10_S2,medium_term,ai_electricity,0.6919168076338957
P1_H10_S2,medium_term,ai_coal,-0.6523338733007228
P1_H10_S2,medium_term,ai_gas,1.481869774189306
P1_H10_S2,medium_term,ai_wti,2.443666269932399
P1_H10_S2,medium_term,ai_gold,1.994554451796228
P1_H10_S2,long_term,ai_electricity,0.7111784624690463
P1_H10_S2,long_term,ai_coal,-0.9012419083091121
P1_H10_S2,long_term,ai_gas,1.4869382628998868
P1_H10_S2,long_term,ai_wti,2.4977206002717525
P1_H10_S2,long_term,ai_gold,2.0046300549649754
P1_H10_S3,short_term,ai_electricity,0.2518775176686678
P1_H10_S3,short_term,ai_coal,1.1988173442087728
P1_H10_S3,short_term,ai_gas,1.4004587215753694
P1_H10_S3,short_term,ai_wti,0.14357029654297898
P1_H10_S3,short_term,ai_gold,1.370918532648074
P1_H10_S3,medium_term,ai_electricity,0.6765045801002019
P1_H10_S3,medium_term,ai_coal,-0.4764120863038567
P1_H10_S3,medium_term,ai_gas,1.480672959471637
P1_H10_S3,medium_term,ai_wti,2.372209375882368
