frequency_band,variable,TO,FROM,NET,average_TCI
long_term,r_ai,34.043805149941036,28.211916858836773,5.831888291104266,24.16756596029159
long_term,r_coal,36.3577780581378,24.038932473283023,12.318845584854778,24.16756596029159
long_term,r_electricity,25.98875947720892,26.976372188430968,-0.9876127112220512,24.16756596029159
long_term,r_gas,10.065765821823112,15.33330063643316,-5.267534814610047,24.16756596029159
long_term,r_gold,18.907115564686073,22.927557471252733,-4.020441906566661,24.16756596029159
long_term,r_wti,19.642171689952605,27.517316133512892,-7.875144443560286,24.16756596029159
medium_term,r_ai,35.14022203118976,29.098328371317198,6.0418936598725566,24.529411619725526
medium_term,r_coal,35.34894738159917,26.146949132362742,9.201998249236421,24.529411619725526
medium_term,r_electricity,26.917918563655164,27.19080886988409,-0.27289030622892757,24.529411619725526
medium_term,r_gas,9.978284743866686,14.787325872549113,-4.809041128682425,24.529411619725526
medium_term,r_gold,19.17447094017936,23.135057750449086,-3.960586810269723,24.529411619725526
medium_term,r_wti,20.616626057863005,26.81799972179091,-6.201373663927903,24.529411619725526
short_term,r_ai,35.006790279644264,31.03615379504846,3.970636484595807,23.92426720882104
short_term,r_coal,29.086236425742275,31.7801956324752,-2.693959206732925,23.92426720882104
short_term,r_electricity,28.523605044204675,25.879709749520185,2.643895294684492,23.92426720882104
short_term,r_gas,9.195099960906804,12.528552899207257,-3.3334529383004528,23.92426720882104
short_term,r_gold,19.588153566996915,22.582601736435976,-2.9944481694390617,23.92426720882104
short_term,r_wti,22.145717975431275,19.738389440239132,2.4073285351921405,23.92426720882104
